Year,Month,Date,Description,Category,Amount,Account,Bank,Card
,,,mcdonalds,Shopping,-3.9,Credit,Chase,Amazon
,,,usps,Shopping,-1.27,Credit,Chase,Amazon
,,,costco,grocery,-39.16,Credit,Chase,Amazon
,,,costco,grocery,-195.44,Credit,Chase,Amazon
,,,amazon,Shopping,-7.89,Credit,Chase,Amazon
,,,gas,Gas,-10.0,Credit,Chase,Amazon
,,,amazon,Shopping,-75.14,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,5.99,Credit,Chase,Amazon
,,,hallmark,Shopping,-20.56,Credit,Chase,Amazon
,,,century theatres,Shopping,-7.6,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-5.99,Credit,Chase,Amazon
,,,krispy kreme,Restaurant,-11.2,Credit,Chase,Amazon
,,,oswego grill,Restaurant,-94.04,Credit,Chase,Amazon
,,,cinemark theatres,Shopping,-24.28,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,-34.9,Credit,Chase,Amazon
,,,safeway,Groceries,-40.91,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-5.0,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-4.19,Credit,Chase,Amazon
,,,safeway,Groceries,-19.14,Credit,Chase,Amazon
,,,dollar tree,Shopping,-20.0,Credit,Chase,Amazon
,,,amazon,Shopping,-13.74,Credit,Chase,Amazon
,,,dollar tree,Shopping,-13.75,Credit,Chase,Amazon
,,,handel's homemade,Restaurant,-13.7,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,-37.9,Credit,Chase,Amazon
,,,el campesino,Restaurant,-7.71,Credit,Chase,Amazon
,,,salt and pepper,Restaurant,-54.05,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-6.99,Credit,Chase,Amazon
,,,amazon,Shopping,-20.98,Credit,Chase,Amazon
,,,safeway,Groceries,-24.66,Credit,Chase,Amazon
,,,safeway,Groceries,-16.53,Credit,Chase,Amazon
,,,cricut subscription,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,tom's pancake house,Restaurant,-23.59,Credit,Chase,Amazon
,,,amazon,Shopping,-27.99,Credit,Chase,Amazon
,,,amazon,Shopping,-25.99,Credit,Chase,Amazon
,,,doordash pass,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,amazon,Shopping,-19.79,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,-37.9,Credit,Chase,Amazon
,,,kfc,Restaurant,-30.99,Credit,Chase,Amazon
,,,safeway,Groceries,-16.26,Credit,Chase,Amazon
,,,transfer,transfer,311.61,Credit,Chase,Amazon
,,,carl's jr,Restaurant,-3.99,Credit,Chase,Amazon
,,,amazon,Shopping,-6.65,Credit,Chase,Amazon
,,,steam,Shopping,-9.99,Credit,Chase,Amazon
,,,mud bay,Shopping,-61.99,Credit,Chase,Amazon
,,,asian family market,Groceries,-18.47,Credit,Chase,Amazon
,,,fred meyer,Groceries,-5.69,Credit,Chase,Amazon
,,,fedex,Shopping,-0.19,Credit,Chase,Amazon
,,,uwajimaya,Shopping,-4.38,Credit,Chase,Amazon
,,,etsy,Shopping,-10.94,Credit,Chase,Amazon
,,,costco,grocery,-38.23,Credit,Chase,Amazon
,,,safeway,Groceries,-28.34,Credit,Chase,Amazon
,,,safeway,Groceries,-2.0,Credit,Chase,Amazon
,,,amazon,Shopping,-13.99,Credit,Chase,Amazon
,,,costco,grocery,-36.75,Credit,Chase,Amazon
,,,costco,grocery,-13.89,Credit,Chase,Amazon
,,,fred meyer,Groceries,-9.98,Credit,Chase,Amazon
,,,din tai fung,Restaurant,-71.98,Credit,Chase,Amazon
,,,kindle subscription,Bills & Utilities,-11.99,Credit,Chase,Amazon
,,,goodwill,Shopping,-2.45,Credit,Chase,Amazon
,,,panda express,Restaurant,-8.9,Credit,Chase,Amazon
,,,fedex,Shopping,-0.76,Credit,Chase,Amazon
,,,tj maxx,Shopping,-36.96,Credit,Chase,Amazon
,,,new seasons,Groceries,-5.98,Credit,Chase,Amazon
,,,amazon,Shopping,-5.54,Credit,Chase,Amazon
,,,etsy,Shopping,-33.44,Credit,Chase,Amazon
,,,amazon,Shopping,-8.99,Credit,Chase,Amazon
,,,oregon symphony,Shopping,-110.0,Credit,Chase,Amazon
,,,asian family market,Groceries,-18.23,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,-34.9,Credit,Chase,Amazon
,,,costco,grocery,-96.76,Credit,Chase,Amazon
,,,safeway,Groceries,-45.11,Credit,Chase,Amazon
,,,barns & nobel,Shopping,22.0,Credit,Chase,Amazon
,,,mi linda puebla,Restaurant,-14.32,Credit,Chase,Amazon
,,,pip's doughnuts,Restaurant,-18.34,Credit,Chase,Amazon
,,,multnomah falls,Shopping,25.99,Credit,Chase,Amazon
,,,multnomah falls,Shopping,-25.99,Credit,Chase,Amazon
,,,carver cafe,Restaurant,-42.45,Credit,Chase,Amazon
,,,fedex,Shopping,-0.19,Credit,Chase,Amazon
,,,panda express,Restaurant,-14.6,Credit,Chase,Amazon
,,,panda express,Restaurant,-10.4,Credit,Chase,Amazon
,,,mediterranean rest,Restaurant,-15.0,Credit,Chase,Amazon
,,,tom's pancake house,Restaurant,-40.78,Credit,Chase,Amazon
,,,home depot,Shopping,-14.41,Credit,Chase,Amazon
,,,fedex,Shopping,-0.19,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-6.99,Credit,Chase,Amazon
,,,paper source,Shopping,-44.0,Credit,Chase,Amazon
,,,amazon,Shopping,-24.99,Credit,Chase,Amazon
,,,doordash pass,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,amazon,Shopping,-29.77,Credit,Chase,Amazon
,,,cricut subscription,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,ross,Shopping,-19.99,Credit,Chase,Amazon
,,,amazon,Shopping,-11.55,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-2.4,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-3.9,Credit,Chase,Amazon
,,,safeway,Groceries,-62.0,Credit,Chase,Amazon
,,,amazon,Shopping,-49.0,Credit,Chase,Amazon
,,,fred meyer,Groceries,-10.97,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,-37.9,Credit,Chase,Amazon
,,,safeway,Groceries,-73.93,Credit,Chase,Amazon
,,,trader joe's,Groceries,-26.18,Credit,Chase,Amazon
,,,costco,grocery,-27.26,Credit,Chase,Amazon
,,,batteries plus,Shopping,-14.94,Credit,Chase,Amazon
,,,goodwill,Shopping,-12.96,Credit,Chase,Amazon
,,,tom's pancake house,Restaurant,-29.81,Credit,Chase,Amazon
,,,fedex,Shopping,-0.19,Credit,Chase,Amazon
,,,kindle subscription,Bills & Utilities,-11.99,Credit,Chase,Amazon
,,,trader joe's,Groceries,-3.79,Credit,Chase,Amazon
,,,fedex,Shopping,-0.19,Credit,Chase,Amazon
,,,mercari,Bills & Utilities,-30.5,Credit,Chase,Amazon
,,,binary brewing,Restaurant,-14.0,Credit,Chase,Amazon
,,,mud bay,Shopping,-61.99,Credit,Chase,Amazon
,,,honeybaked ham,Restaurant,-3.0,Credit,Chase,Amazon
,,,transfer,transfer,2362.83,Credit,Chase,Amazon
,,,fedex,Shopping,-0.19,Credit,Chase,Amazon
,,,uwajimaya,Shopping,-24.49,Credit,Chase,Amazon
,,,steam,Shopping,-7.49,Credit,Chase,Amazon
,,,carl's jr,Restaurant,-12.98,Credit,Chase,Amazon
,,,salt & straw,Restaurant,-14.55,Credit,Chase,Amazon
,,,usps,Shopping,-15.75,Credit,Chase,Amazon
,,,red robin,Restaurant,-46.56,Credit,Chase,Amazon
,,,fedex,Shopping,-0.19,Credit,Chase,Amazon
,,,fedex,Shopping,-0.57,Credit,Chase,Amazon
,,,fedex,Shopping,-3.99,Credit,Chase,Amazon
,,,fedex,Shopping,-0.19,Credit,Chase,Amazon
,,,ups,Shopping,-3.5,Credit,Chase,Amazon
